LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,MLN_USD,A,2017,1251095.561,
AUS,GDP,TOT,MLN_USD,A,2018,1326164.114,
AUS,GDP,TOT,MLN_USD,A,2019,1346385.112,
AUS,GDP,TOT,MLN_USD,A,2020,1338881.889,E
AUT,GDP,TOT,MLN_USD,A,2017,476563.995,
AUT,GDP,TOT,MLN_USD,A,2018,504354.99,
AUT,GDP,TOT,MLN_USD,A,2019,520804.077,
AUT,GDP,TOT,MLN_USD,A,2020,496468.243,
BEL,GDP,TOT,MLN_USD,A,2017,573788.528,
BEL,GDP,TOT,MLN_USD,A,2018,601777.448,
BEL,GDP,TOT,MLN_USD,A,2019,628555.777,
BEL,GDP,TOT,MLN_USD,A,2020,598357.712,P
CAN,GDP,TOT,MLN_USD,A,2017,1765763.154,
CAN,GDP,TOT,MLN_USD,A,2018,1862154.108,
CAN,GDP,TOT,MLN_USD,A,2019,1904502.917,
CAN,GDP,TOT,MLN_USD,A,2020,1840353.618,
CZE,GDP,TOT,MLN_USD,A,2017,411327.86,
CZE,GDP,TOT,MLN_USD,A,2018,437252.426,
CZE,GDP,TOT,MLN_USD,A,2019,458949.665,
CZE,GDP,TOT,MLN_USD,A,2020,440098.351,
DNK,GDP,TOT,MLN_USD,A,2017,319130.165,
DNK,GDP,TOT,MLN_USD,A,2018,332918.429,
DNK,GDP,TOT,MLN_USD,A,2019,350812.056,
DNK,GDP,TOT,MLN_USD,A,2020,348880.767,
FIN,GDP,TOT,MLN_USD,A,2017,262026.563,
FIN,GDP,TOT,MLN_USD,A,2018,274425.751,
FIN,GDP,TOT,MLN_USD,A,2019,284674.869,
FIN,GDP,TOT,MLN_USD,A,2020,277873.146,
FRA,GDP,TOT,MLN_USD,A,2017,2983010.673,
FRA,GDP,TOT,MLN_USD,A,2018,3124870.045,P
FRA,GDP,TOT,MLN_USD,A,2019,3320559.672,P
FRA,GDP,TOT,MLN_USD,A,2020,3077474.669,P
DEU,GDP,TOT,MLN_USD,A,2017,4376927.671,
DEU,GDP,TOT,MLN_USD,A,2018,4556073.246,
DEU,GDP,TOT,MLN_USD,A,2019,4644164.145,
DEU,GDP,TOT,MLN_USD,A,2020,4480023.268,P
GRC,GDP,TOT,MLN_USD,A,2017,308068.164,
GRC,GDP,TOT,MLN_USD,A,2018,318561.979,P
GRC,GDP,TOT,MLN_USD,A,2019,330966.206,P
GRC,GDP,TOT,MLN_USD,A,2020,303970.143,P
HUN,GDP,TOT,MLN_USD,A,2017,288403.654,
HUN,GDP,TOT,MLN_USD,A,2018,311175.568,
HUN,GDP,TOT,MLN_USD,A,2019,331796.894,P
HUN,GDP,TOT,MLN_USD,A,2020,327775.401,P
ISL,GDP,TOT,MLN_USD,A,2017,19106.258,
ISL,GDP,TOT,MLN_USD,A,2018,20536.241,
ISL,GDP,TOT,MLN_USD,A,2019,21663.292,
ISL,GDP,TOT,MLN_USD,A,2020,20405.655,
IRL,GDP,TOT,MLN_USD,A,2017,378128.166,
IRL,GDP,TOT,MLN_USD,A,2018,413286.508,
IRL,GDP,TOT,MLN_USD,A,2019,441284.827,
IRL,GDP,TOT,MLN_USD,A,2020,449139.766,
ITA,GDP,TOT,MLN_USD,A,2017,2517184.468,
ITA,GDP,TOT,MLN_USD,A,2018,2605604.586,
ITA,GDP,TOT,MLN_USD,A,2019,2678904.139,
ITA,GDP,TOT,MLN_USD,A,2020,2468700.397,
JPN,GDP,TOT,MLN_USD,A,2017,5193982.177,
JPN,GDP,TOT,MLN_USD,A,2018,5275711.568,
JPN,GDP,TOT,MLN_USD,A,2019,5328033.466,E
KOR,GDP,TOT,MLN_USD,A,2017,2103651.26,
KOR,GDP,TOT,MLN_USD,A,2018,2192613.181,
KOR,GDP,TOT,MLN_USD,A,2019,2209423.793,P
KOR,GDP,TOT,MLN_USD,A,2020,2214397.458,E
LUX,GDP,TOT,MLN_USD,A,2017,66973.383,
LUX,GDP,TOT,MLN_USD,A,2018,70914.212,
LUX,GDP,TOT,MLN_USD,A,2019,74996.716,
LUX,GDP,TOT,MLN_USD,A,2020,74224.746,
MEX,GDP,TOT,MLN_USD,A,2017,2460766.096,
MEX,GDP,TOT,MLN_USD,A,2018,2556350.973,P
MEX,GDP,TOT,MLN_USD,A,2019,2608649.816,P
MEX,GDP,TOT,MLN_USD,A,2020,2432565.07,E
NLD,GDP,TOT,MLN_USD,A,2017,943739.619,
NLD,GDP,TOT,MLN_USD,A,2018,997729.784,
NLD,GDP,TOT,MLN_USD,A,2019,1031484.13,P
NLD,GDP,TOT,MLN_USD,A,2020,1004759.711,P
NZL,GDP,TOT,MLN_USD,A,2017,203544.585,
NZL,GDP,TOT,MLN_USD,A,2018,215287.748,
NZL,GDP,TOT,MLN_USD,A,2019,223650.279,
NZL,GDP,TOT,MLN_USD,A,2020,222874.946,E
NOR,GDP,TOT,MLN_USD,A,2017,337993.785,
NOR,GDP,TOT,MLN_USD,A,2018,370296.235,
NOR,GDP,TOT,MLN_USD,A,2019,365502.326,
NOR,GDP,TOT,MLN_USD,A,2020,366921.626,
POL,GDP,TOT,MLN_USD,A,2017,1141694.015,
POL,GDP,TOT,MLN_USD,A,2018,1214376.603,
POL,GDP,TOT,MLN_USD,A,2019,1299683.796,
POL,GDP,TOT,MLN_USD,A,2020,1283078.714,P
PRT,GDP,TOT,MLN_USD,A,2017,340370.325,
PRT,GDP,TOT,MLN_USD,A,2018,359232.261,
PRT,GDP,TOT,MLN_USD,A,2019,379273.761,P
PRT,GDP,TOT,MLN_USD,A,2020,352582.796,E
SVK,GDP,TOT,MLN_USD,A,2017,163600.251,
SVK,GDP,TOT,MLN_USD,A,2018,171600.747,
SVK,GDP,TOT,MLN_USD,A,2019,177571.553,
SVK,GDP,TOT,MLN_USD,A,2020,171699.551,
ESP,GDP,TOT,MLN_USD,A,2017,1841779.72,
ESP,GDP,TOT,MLN_USD,A,2018,1905614.461,P
ESP,GDP,TOT,MLN_USD,A,2019,1988354.742,P
ESP,GDP,TOT,MLN_USD,A,2020,1796199.44,P
SWE,GDP,TOT,MLN_USD,A,2017,522476.825,
SWE,GDP,TOT,MLN_USD,A,2018,544916.384,
SWE,GDP,TOT,MLN_USD,A,2019,566045.637,
SWE,GDP,TOT,MLN_USD,A,2020,556181.706,
CHE,GDP,TOT,MLN_USD,A,2017,584052.298,
CHE,GDP,TOT,MLN_USD,A,2018,610525.001,
CHE,GDP,TOT,MLN_USD,A,2019,626977.254,
CHE,GDP,TOT,MLN_USD,A,2020,613920.341,
TUR,GDP,TOT,MLN_USD,A,2017,2264269.34,
TUR,GDP,TOT,MLN_USD,A,2018,2300825.727,
TUR,GDP,TOT,MLN_USD,A,2019,2279166.318,
TUR,GDP,TOT,MLN_USD,A,2020,2388848.859,P
GBR,GDP,TOT,MLN_USD,A,2017,3021843.667,
GBR,GDP,TOT,MLN_USD,A,2018,3133332.404,
GBR,GDP,TOT,MLN_USD,A,2019,3242466.168,
GBR,GDP,TOT,MLN_USD,A,2020,2948686.267,
USA,GDP,TOT,MLN_USD,A,2017,19542980.0,
USA,GDP,TOT,MLN_USD,A,2018,20611861.0,
USA,GDP,TOT,MLN_USD,A,2019,21433226.0,
USA,GDP,TOT,MLN_USD,A,2020,20936600.0,E
CHL,GDP,TOT,MLN_USD,A,2017,451984.54,
CHL,GDP,TOT,MLN_USD,A,2018,463368.859,
CHL,GDP,TOT,MLN_USD,A,2019,492274.022,
CHL,GDP,TOT,MLN_USD,A,2020,476386.27,
CHN,GDP,TOT,MLN_USD,A,2017,19887035.113,
CHN,GDP,TOT,MLN_USD,A,2018,21746510.71,
CHN,GDP,TOT,MLN_USD,A,2019,23523357.394,
COL,GDP,TOT,MLN_USD,A,2017,693117.075,
COL,GDP,TOT,MLN_USD,A,2018,738255.957,
COL,GDP,TOT,MLN_USD,A,2019,786356.837,P
COL,GDP,TOT,MLN_USD,A,2020,741681.601,E
EST,GDP,TOT,MLN_USD,A,2017,44601.599,
EST,GDP,TOT,MLN_USD,A,2018,48023.215,
EST,GDP,TOT,MLN_USD,A,2019,51509.344,
EST,GDP,TOT,MLN_USD,A,2020,50979.442,
IND,GDP,TOT,MLN_USD,A,2017,8123456.655,E
IDN,GDP,TOT,MLN_USD,A,2017,2894125.53,
IDN,GDP,TOT,MLN_USD,A,2018,3117982.345,
IDN,GDP,TOT,MLN_USD,A,2019,3337847.154,
IDN,GDP,TOT,MLN_USD,A,2020,3303618.697,
ISR,GDP,TOT,MLN_USD,A,2017,338372.035,
ISR,GDP,TOT,MLN_USD,A,2018,358359.666,
ISR,GDP,TOT,MLN_USD,A,2019,379793.445,
ISR,GDP,TOT,MLN_USD,A,2020,375388.66,
RUS,GDP,TOT,MLN_USD,A,2017,3807099.411,
RUS,GDP,TOT,MLN_USD,A,2018,4211362.884,
RUS,GDP,TOT,MLN_USD,A,2019,4283892.18,
RUS,GDP,TOT,MLN_USD,A,2020,4411403.457,
SVN,GDP,TOT,MLN_USD,A,2017,75434.833,
SVN,GDP,TOT,MLN_USD,A,2018,80706.96,
SVN,GDP,TOT,MLN_USD,A,2019,86028.575,
SVN,GDP,TOT,MLN_USD,A,2020,81448.053,
ZAF,GDP,TOT,MLN_USD,A,2017,724100.729,
ZAF,GDP,TOT,MLN_USD,A,2018,747577.76,
ZAF,GDP,TOT,MLN_USD,A,2019,763258.133,
ZAF,GDP,TOT,MLN_USD,A,2020,726299.553,
