LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Import_Value,Flag Codes,Export_Value
AUS,TRADESERV,IMP,MLN_USD,Q,2018-Q1,17820.03,,19076.05
AUS,TRADESERV,IMP,MLN_USD,Q,2018-Q2,17979.49,,15912.62
AUS,TRADESERV,IMP,MLN_USD,Q,2018-Q3,19139.03,,16739.61
AUS,TRADESERV,IMP,MLN_USD,Q,2018-Q4,18589.74,,17684.94
AUS,TRADESERV,IMP,MLN_USD,Q,2019-Q1,17224.44,,18963.97
AUS,TRADESERV,IMP,MLN_USD,Q,2019-Q2,17844.24,,16191.74
AUS,TRADESERV,IMP,MLN_USD,Q,2019-Q3,18763.95,,17313.5
AUS,TRADESERV,IMP,MLN_USD,Q,2019-Q4,18215.93,,18461.95
AUS,TRADESERV,IMP,MLN_USD,Q,2020-Q1,14326.13,,15931.14
AUS,TRADESERV,IMP,MLN_USD,Q,2020-Q2,7400.472,,10328.94
AUS,TRADESERV,IMP,MLN_USD,Q,2020-Q3,7912.849,,10604.59
AUS,TRADESERV,IMP,MLN_USD,Q,2020-Q4,8693.929,,11501.37
CAN,TRADESERV,IMP,MLN_USD,Q,2018-Q1,31814.86,,25138.34
CAN,TRADESERV,IMP,MLN_USD,Q,2018-Q2,30420.76,,26146.32
CAN,TRADESERV,IMP,MLN_USD,Q,2018-Q3,29606.01,,27338.86
CAN,TRADESERV,IMP,MLN_USD,Q,2018-Q4,28994.7,,24880.6
CAN,TRADESERV,IMP,MLN_USD,Q,2019-Q1,31320.08,,24818.13
CAN,TRADESERV,IMP,MLN_USD,Q,2019-Q2,30431.67,,26329.95
CAN,TRADESERV,IMP,MLN_USD,Q,2019-Q3,29760.25,,27988.35
CAN,TRADESERV,IMP,MLN_USD,Q,2019-Q4,29692.0,,25875.2
CAN,TRADESERV,IMP,MLN_USD,Q,2020-Q1,30696.5,,25043.07
CAN,TRADESERV,IMP,MLN_USD,Q,2020-Q2,19249.11,,19479.97
CAN,TRADESERV,IMP,MLN_USD,Q,2020-Q3,20003.95,,19228.35
CAN,TRADESERV,IMP,MLN_USD,Q,2020-Q4,21274.86,,21816.72
FRA,TRADESERV,IMP,MLN_USD,Q,2018-Q1,68287.5,,72355.09
FRA,TRADESERV,IMP,MLN_USD,Q,2018-Q2,68549.22,,75460.61
FRA,TRADESERV,IMP,MLN_USD,Q,2018-Q3,68902.8,,79686.05
FRA,TRADESERV,IMP,MLN_USD,Q,2018-Q4,67696.18,,75002.6
FRA,TRADESERV,IMP,MLN_USD,Q,2019-Q1,65140.58,,68401.35
FRA,TRADESERV,IMP,MLN_USD,Q,2019-Q2,67804.66,,74230.09
FRA,TRADESERV,IMP,MLN_USD,Q,2019-Q3,69500.26,,78023.43
FRA,TRADESERV,IMP,MLN_USD,Q,2019-Q4,67437.35,,73344.07
FRA,TRADESERV,IMP,MLN_USD,Q,2020-Q1,62155.04,,60420.16
FRA,TRADESERV,IMP,MLN_USD,Q,2020-Q2,52051.61,,51880.95
FRA,TRADESERV,IMP,MLN_USD,Q,2020-Q3,56802.0,,64544.22
FRA,TRADESERV,IMP,MLN_USD,Q,2020-Q4,60251.23,,68942.68
DEU,TRADESERV,IMP,MLN_USD,Q,2018-Q1,87053.69,,84609.45
DEU,TRADESERV,IMP,MLN_USD,Q,2018-Q2,89161.88,,86140.97
DEU,TRADESERV,IMP,MLN_USD,Q,2018-Q3,100898.9,,86922.2
DEU,TRADESERV,IMP,MLN_USD,Q,2018-Q4,97086.15,,96093.55
DEU,TRADESERV,IMP,MLN_USD,Q,2019-Q1,84966.37,,83500.6
DEU,TRADESERV,IMP,MLN_USD,Q,2019-Q2,90396.48,,87194.45
DEU,TRADESERV,IMP,MLN_USD,Q,2019-Q3,101318.8,,87404.69
DEU,TRADESERV,IMP,MLN_USD,Q,2019-Q4,98558.62,,94136.61
DEU,TRADESERV,IMP,MLN_USD,Q,2020-Q1,83626.82,,80685.78
DEU,TRADESERV,IMP,MLN_USD,Q,2020-Q2,62141.1,,68334.18
DEU,TRADESERV,IMP,MLN_USD,Q,2020-Q3,81441.23,,75054.27
DEU,TRADESERV,IMP,MLN_USD,Q,2020-Q4,81476.2,,86407.82
ITA,TRADESERV,IMP,MLN_USD,Q,2018-Q1,28985.54,,24930.24
ITA,TRADESERV,IMP,MLN_USD,Q,2018-Q2,31438.35,,32145.92
ITA,TRADESERV,IMP,MLN_USD,Q,2018-Q3,32961.7,,36439.01
ITA,TRADESERV,IMP,MLN_USD,Q,2018-Q4,33233.71,,29580.5
ITA,TRADESERV,IMP,MLN_USD,Q,2019-Q1,28049.25,,24052.76
ITA,TRADESERV,IMP,MLN_USD,Q,2019-Q2,30031.01,,31731.49
ITA,TRADESERV,IMP,MLN_USD,Q,2019-Q3,32757.72,,36915.93
ITA,TRADESERV,IMP,MLN_USD,Q,2019-Q4,32312.58,,29452.77
ITA,TRADESERV,IMP,MLN_USD,Q,2020-Q1,24736.66,,20045.32
ITA,TRADESERV,IMP,MLN_USD,Q,2020-Q2,19719.87,,16950.88
ITA,TRADESERV,IMP,MLN_USD,Q,2020-Q3,22727.35,,26650.49
ITA,TRADESERV,IMP,MLN_USD,Q,2020-Q4,25802.54,,23945.29
JPN,TRADESERV,IMP,MLN_USD,Q,2018-Q1,49828.71,,51902.68
JPN,TRADESERV,IMP,MLN_USD,Q,2018-Q2,54851.15,,48938.12
JPN,TRADESERV,IMP,MLN_USD,Q,2018-Q3,47443.45,,45627.62
JPN,TRADESERV,IMP,MLN_USD,Q,2018-Q4,51280.43,,47748.73
JPN,TRADESERV,IMP,MLN_USD,Q,2019-Q1,53130.29,,53391.34
JPN,TRADESERV,IMP,MLN_USD,Q,2019-Q2,56681.7,,53236.11
JPN,TRADESERV,IMP,MLN_USD,Q,2019-Q3,54863.8,,50494.02
JPN,TRADESERV,IMP,MLN_USD,Q,2019-Q4,54681.92,,52261.71
JPN,TRADESERV,IMP,MLN_USD,Q,2020-Q1,52976.27,,47411.19
JPN,TRADESERV,IMP,MLN_USD,Q,2020-Q2,51647.92,,39207.59
JPN,TRADESERV,IMP,MLN_USD,Q,2020-Q3,44492.68,,35536.1
JPN,TRADESERV,IMP,MLN_USD,Q,2020-Q4,47752.69,,39699.57
NLD,TRADESERV,IMP,MLN_USD,Q,2018-Q1,45749.89,,48356.34
NLD,TRADESERV,IMP,MLN_USD,Q,2018-Q2,48181.96,,51146.87
NLD,TRADESERV,IMP,MLN_USD,Q,2018-Q3,48813.76,,50845.0
NLD,TRADESERV,IMP,MLN_USD,Q,2018-Q4,46647.45,,50800.38
NLD,TRADESERV,IMP,MLN_USD,Q,2019-Q1,42773.84,,46913.39
NLD,TRADESERV,IMP,MLN_USD,Q,2019-Q2,48004.65,,53357.86
NLD,TRADESERV,IMP,MLN_USD,Q,2019-Q3,48630.29,,51415.77
NLD,TRADESERV,IMP,MLN_USD,Q,2019-Q4,45157.89,,51110.0
NLD,TRADESERV,IMP,MLN_USD,Q,2020-Q1,43680.48,,47630.5
NLD,TRADESERV,IMP,MLN_USD,Q,2020-Q2,40159.79,,44899.56
NLD,TRADESERV,IMP,MLN_USD,Q,2020-Q3,43512.42,,47209.88
NLD,TRADESERV,IMP,MLN_USD,Q,2020-Q4,41530.83,,46506.57
ESP,TRADESERV,IMP,MLN_USD,Q,2018-Q1,18950.52,,31156.96
ESP,TRADESERV,IMP,MLN_USD,Q,2018-Q2,19103.39,,40996.59
ESP,TRADESERV,IMP,MLN_USD,Q,2018-Q3,22824.12,,47496.82
ESP,TRADESERV,IMP,MLN_USD,Q,2018-Q4,21125.18,,35881.77
ESP,TRADESERV,IMP,MLN_USD,Q,2019-Q1,18981.07,,30759.38
ESP,TRADESERV,IMP,MLN_USD,Q,2019-Q2,19982.08,,40700.33
ESP,TRADESERV,IMP,MLN_USD,Q,2019-Q3,24347.93,,48407.98
ESP,TRADESERV,IMP,MLN_USD,Q,2019-Q4,22289.42,,37215.1
ESP,TRADESERV,IMP,MLN_USD,Q,2020-Q1,17355.43,,27136.86
ESP,TRADESERV,IMP,MLN_USD,Q,2020-Q2,11170.67,,15384.16
ESP,TRADESERV,IMP,MLN_USD,Q,2020-Q3,15209.64,,24171.49
ESP,TRADESERV,IMP,MLN_USD,Q,2020-Q4,16761.82,,23239.57
TUR,TRADESERV,IMP,MLN_USD,Q,2018-Q1,6250.0,,9745.0
TUR,TRADESERV,IMP,MLN_USD,Q,2018-Q2,7252.0,,13649.0
TUR,TRADESERV,IMP,MLN_USD,Q,2018-Q3,7186.0,,19974.0
TUR,TRADESERV,IMP,MLN_USD,Q,2018-Q4,7765.0,,15259.0
TUR,TRADESERV,IMP,MLN_USD,Q,2019-Q1,6514.0,,10745.0
TUR,TRADESERV,IMP,MLN_USD,Q,2019-Q2,6678.0,,14999.0
TUR,TRADESERV,IMP,MLN_USD,Q,2019-Q3,7064.0,,21760.0
