LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,63.19113,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,63.80774,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,64.78767,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,65.44471,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,66.43565,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,69.99851,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,69.75755,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,64.91787,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,61.20995,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,59.56795,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,60.79316,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,67.82889,
AUS,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,79.67695,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,110.5735,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,114.9653,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,115.5717,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,109.7032,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,108.0231,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,114.9911,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,112.8298,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,110.7478,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,105.4541,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,76.75938,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,101.5814,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,106.9343,
CAN,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,118.5348,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,149.0266,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,145.4132,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,144.0122,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2018-Q4,143.8645,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q1,146.2224,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q2,145.3254,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q3,140.4459,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2019-Q4,140.6584,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q1,131.1917,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q2,92.89844,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q3,126.1722,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2020-Q4,137.8804,
FRA,TRADEGOOD,EXP,BLN_USD,Q,2021-Q1,141.5357,
DEU,TRADEGOOD,EXP,BLN_USD,Q,2018-Q1,402.1412,
DEU,TRADEGOOD,EXP,BLN_USD,Q,2018-Q2,395.7976,
DEU,TRADEGOOD,EXP,BLN_USD,Q,2018-Q3,384.6597,
