LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,58.90638,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,57.35599,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,55.4318,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,55.15244,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,55.03162,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,54.1782,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,52.11545,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,52.35398,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,48.14425,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,46.77044,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,51.00888,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,55.79936,
AUS,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,61.99704,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,115.0539,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,116.9387,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,115.2754,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,112.5123,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,115.1015,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,113.8783,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,113.5179,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,110.91,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,106.8697,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,80.27582,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,106.5287,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,111.9857,
CAN,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,115.7213,
FRA,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,172.8027,
